seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
11,7,0,YEH>YEM@2028-10:grievance SOM>SOL@2029-12:contested-territory RUS>UKR@2030-11:contested-territory RUS>UKR@2035-11:contested-territory SDN>SDR@2037-11:grievance COD>M23@2038-01:grievance COD>M23@2059-11:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,32,47,CUB@2031-10-01 UKR@2037-01-01,0.685,1.363,2035-12-01,2039-03-01,2038-07-01,180,45,348
12,10,0,SOM>SOL@2028-08:contested-territory RUS>UKR@2030-11:contested-territory IND>PAK@2033-05:contested-territory YEH>YEM@2034-04:grievance RUS>UKR@2035-11:contested-territory RUS>UKR@2040-12:contested-territory YEM>YEH@2047-09:contested-territory ISR>LBN@2048-05:grievance IND>PAK@2048-11:contested-territory ISR>PSE@2057-09:contested-territory,0,,UKR@2033-06-01,1,electoral-authoritarian,electoral-authoritarian,39,43,CUB@2031-01-01 UKR@2033-12-01,0.700,1.337,2035-12-01,2039-03-01,2038-04-01,188,52,392
13,13,0,SOM>SOL@2027-12:contested-territory RUS>UKR@2033-05:contested-territory DZA>MLI@2033-12:grievance SOM>SOL@2035-04:grievance RUS>UKR@2039-02:contested-territory PAK>AFG@2040-04:grievance SDN>SDR@2040-09:grievance ISR>LBN@2049-12:grievance COD>M23@2052-07:grievance SOM>SOL@2053-12:grievance ISR>PSE@2055-08:contested-territory SOM>SOL@2059-09:grievance YEH>YEM@2060-10:grievance,0,,UKR@2034-11-01,1,electoral-authoritarian,electoral-authoritarian,33,48,CUB@2031-01-01 UKR@2036-08-01,0.684,1.373,2035-12-01,2039-03-01,2038-09-01,207,55,366
14,8,1,ISR>PSE@2027-07:contested-territory RUS>UKR@2032-06:contested-territory SOM>SOL@2032-08:contested-territory SDN>SDR@2033-01:grievance YEH>YEM@2038-01:none RUS>UKR@2038-07:contested-territory COD>M23@2043-05:grievance SDN>SDR@2043-07:grievance,0,,,1,parliamentary,electoral-authoritarian,32,91,CUB@2031-05-01 PSE@2075-10-01,0.703,1.576,2035-12-01,2039-03-01,2038-09-01,223,53,358
15,10,1,SOM>SOL@2028-10:contested-territory RUS>UKR@2031-05:contested-territory SDN>SDR@2033-03:contested-territory DZA>MLI@2033-10:none RUS>UKR@2036-06:contested-territory YEH>YEM@2036-10:grievance COD>RWA@2037-05:grievance DZA>LBE@2038-11:contested-territory DZA>MLI@2044-07:contested-territory RWA>BDI@2051-10:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,35,68,,0.702,1.658,2035-12-01,2039-03-01,2038-06-01,281,54,371
16,13,0,RUS>UKR@2031-06:contested-territory SOM>SOL@2031-11:contested-territory SDN>SDR@2034-06:grievance YEH>YEM@2035-02:grievance RUS>UKR@2036-10:contested-territory SDN>SDR@2042-09:grievance ISR>PSE@2046-05:grievance ISR>PSE@2052-03:grievance IND>PAK@2052-05:contested-territory YEM>YEH@2052-12:contested-territory SDN>SDR@2054-10:grievance COD>M23@2058-12:grievance IND>PAK@2062-08:contested-territory,0,,UKR@2034-01-01 VEN@2064-08-01,1,electoral-authoritarian,electoral-authoritarian,40,35,CUB@2031-01-01 UKR@2038-03-01,0.697,1.511,2035-12-01,2039-03-01,2038-08-01,236,62,381
17,13,0,SOM>SOL@2029-10:contested-territory YEH>YEM@2030-08:grievance RUS>UKR@2031-05:contested-territory COD>M23@2036-07:grievance RUS>UKR@2036-10:contested-territory SOM>SOL@2037-02:grievance YEM>YEH@2042-05:contested-territory SOM>SOL@2045-04:grievance COD>M23@2045-05:grievance IND>PAK@2047-10:contested-territory IND>PAK@2056-03:contested-territory ISR>PSE@2056-12:grievance IND>PAK@2065-07:contested-territory,0,,UKR@2032-10-01 UKR@2033-11-01,1,junta,parliamentary,41,61,CUB@2031-01-01 UKR@2033-11-01,0.698,1.351,2035-12-01,2039-03-01,2038-07-01,192,45,418
18,13,1,YEH>YEM@2026-11:grievance RUS>UKR@2030-12:contested-territory SOM>SOL@2031-01:contested-territory SDN>SDR@2032-11:none YEM>YEH@2033-10:contested-territory ISR>SYR@2034-08:grievance IND>PAK@2035-01:contested-territory RUS>UKR@2036-05:contested-territory COD>M23@2036-09:grievance ETH>ERI@2037-10:grievance ISR>PSE@2043-10:contested-territory IND>PAK@2051-03:contested-territory IND>PAK@2064-02:contested-territory,0,,UKR@2033-03-01,1,electoral-authoritarian,electoral-authoritarian,40,72,SDN@2034-11-01 UKR@2037-11-01,0.677,1.415,2035-12-01,2039-03-01,2038-10-01,82,61,426
19,9,0,SOM>SOL@2028-02:contested-territory ISR>SYR@2030-06:grievance RUS>UKR@2030-10:contested-territory RUS>UKR@2035-10:contested-territory ISR>PSE@2035-12:contested-territory YEH>YEM@2044-05:grievance IND>PAK@2046-09:contested-territory COD>M23@2052-07:grievance IND>PAK@2056-04:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,38,79,UKR@2037-06-01,0.718,1.409,2035-12-01,2039-03-01,2038-05-01,229,38,375
20,8,0,ISR>PSE@2028-04:contested-territory SOM>SOL@2029-02:contested-territory RUS>UKR@2031-05:contested-territory YEH>YEM@2035-07:grievance RUS>UKR@2037-09:contested-territory COD>M23@2041-04:grievance YEM>YEH@2046-02:contested-territory SOM>SOL@2049-07:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,27,69,CUB@2031-01-01 UKR@2034-08-01,0.683,1.457,2035-12-01,2039-03-01,2038-07-01,211,37,360
21,12,0,SOM>SOL@2028-11:contested-territory RUS>UKR@2031-07:contested-territory ISR>SYR@2036-03:grievance CRI>PAN@2037-04:grievance RUS>UKR@2037-11:contested-territory SDN>SDR@2037-12:grievance ISR>PSE@2041-10:contested-territory COD>M23@2051-02:grievance YEH>YEM@2052-07:grievance SDN>SDR@2057-04:grievance COD>M23@2065-10:grievance COD>M23@2071-11:grievance,0,,UKR@2032-08-01,1,electoral-authoritarian,electoral-authoritarian,33,51,UKR@2033-11-01,0.680,1.350,2035-12-01,2039-03-01,2038-04-01,228,38,349
22,10,0,ISR>PSE@2026-10:grievance SOM>SOL@2027-03:contested-territory RUS>UKR@2031-04:contested-territory RUS>UKR@2037-03:contested-territory ISR>PSE@2041-09:grievance YEH>YEM@2048-02:grievance IND>PAK@2049-05:contested-territory IND>PAK@2056-04:contested-territory ISR>LBN@2061-06:grievance IND>PAK@2064-04:contested-territory,0,,UKR@2033-11-01 VEN@2051-03-01,1,electoral-authoritarian,electoral-authoritarian,39,75,UKR@2034-01-01,0.689,1.376,2035-11-01,2039-03-01,2038-09-01,84,60,422
23,13,0,SOM>SOL@2028-04:contested-territory RUS>UKR@2031-02:contested-territory SDN>SDR@2031-09:contested-territory RUS>UKR@2036-03:contested-territory IND>PAK@2037-01:contested-territory COD>M23@2043-05:grievance SOM>SOL@2043-06:grievance IND>PAK@2049-05:contested-territory YEH>YEM@2049-06:grievance SDN>SDR@2050-01:grievance SOM>SOL@2050-04:grievance DZA>MLI@2051-01:grievance IND>PAK@2061-08:contested-territory,0,,UKR@2037-10-01 VEN@2040-06-01,1,junta,electoral-authoritarian,30,56,,0.672,1.521,2035-12-01,2039-03-01,2038-06-01,219,43,407
24,11,0,YEH>YEM@2030-05:grievance RUS>UKR@2030-11:contested-territory SDN>SDR@2032-02:grievance SOM>SOL@2033-03:contested-territory RUS>UKR@2036-10:contested-territory COD>M23@2039-09:grievance IND>PAK@2045-01:contested-territory YEM>YEH@2048-05:contested-territory ISR>PSE@2050-10:grievance IND>PAK@2054-10:contested-territory IND>PAK@2063-12:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,35,54,CUB@2031-02-01 VEN@2031-12-01 UKR@2039-05-01,0.679,1.380,2035-12-01,2039-03-01,2038-07-01,276,69,394
25,11,2,PAK>AFG@2027-04:grievance RUS>UKR@2031-03:contested-territory SOM>SOL@2031-04:contested-territory SDN>SDR@2032-03:none YEH>YEM@2032-03:grievance RUS>UKR@2037-01:contested-territory SOM>SOL@2037-01:grievance SDN>SDR@2037-04:none EGY>SDN@2037-08:ally-attacked YEM>YEH@2041-01:contested-territory COD>M23@2058-07:grievance,0,,VEN@2029-04-01 UKR@2033-06-01 SDN@2039-02-01,1,electoral-authoritarian,electoral-authoritarian,26,54,SDN@2039-02-01,0.694,1.332,2035-12-01,2039-03-01,2038-05-01,257,65,384
26,10,2,SOM>SOL@2029-05:contested-territory RUS>UKR@2033-02:contested-territory SOM>SOL@2035-08:none IND>PAK@2037-01:contested-territory RUS>UKR@2038-05:contested-territory SDN>SDR@2039-02:contested-territory YEH>YEM@2039-11:none RUS>UKR@2043-07:contested-territory IND>PAK@2050-02:contested-territory SDN>SDR@2056-12:grievance,0,,UKR@2035-03-01,1,electoral-authoritarian,electoral-authoritarian,34,53,CUB@2031-01-01 UKR@2035-09-01 SOM@2036-04-01,0.698,1.467,2035-12-01,2039-03-01,2038-06-01,235,62,417
27,18,0,SOM>SOL@2029-11:contested-territory SDN>SDR@2031-07:contested-territory RUS>UKR@2031-10:contested-territory YEH>YEM@2031-10:grievance LBE>LBY@2031-12:grievance IND>PAK@2033-05:contested-territory LBE>LBY@2037-04:grievance RUS>UKR@2037-07:contested-territory SOM>SOL@2037-11:grievance SOM>SOL@2044-07:grievance YEM>YEH@2045-07:contested-territory IND>PAK@2046-11:contested-territory ISR>LBN@2048-09:grievance ISR>PSE@2054-08:contested-territory SDN>SDR@2062-03:grievance COD>M23@2064-03:grievance IND>PAK@2065-09:contested-territory NAM>ZMB@2070-07:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,56,68,CUB@2031-01-01,0.700,1.498,2035-12-01,2039-03-01,2038-07-01,223,53,380
28,8,0,SOM>SOL@2027-12:contested-territory YEH>YEM@2029-04:grievance RUS>UKR@2031-02:contested-territory SDN>SDR@2031-06:contested-territory RUS>UKR@2036-02:contested-territory YEM>YEH@2042-02:contested-territory SOM>SOL@2042-03:grievance COD>M23@2055-02:grievance,0,,UKR@2038-06-01,1,electoral-authoritarian,electoral-authoritarian,26,55,CUB@2031-08-01 UKR@2038-06-01,0.687,1.466,2035-12-01,2039-03-01,2038-10-01,303,59,335
29,12,0,SOM>SOL@2028-03:contested-territory RUS>UKR@2030-12:contested-territory LBE>LBY@2032-09:grievance RUS>UKR@2036-07:contested-territory SDN>SDR@2038-03:grievance ISR>PSE@2042-04:grievance SDN>SDR@2046-06:grievance ISR>PSE@2049-12:grievance IND>PAK@2055-09:contested-territory SDN>SDR@2057-12:grievance IND>PAK@2062-09:contested-territory RUS>UKR@2064-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,26,65,CUB@2031-01-01,0.708,1.381,2035-11-01,2039-03-01,2038-05-01,235,45,389
30,12,0,SOM>SOL@2027-10:contested-territory SDN>SDR@2031-03:grievance RUS>UKR@2031-05:contested-territory COD>M23@2034-01:grievance SOM>SOL@2035-10:grievance RUS>UKR@2036-07:contested-territory COD>M23@2039-08:grievance YEH>YEM@2044-09:grievance COD>M23@2046-02:grievance SDN>SDR@2048-02:grievance SDN>SDR@2056-03:grievance SDN>SDR@2067-05:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,37,37,CUB@2031-01-01,0.699,1.573,2035-12-01,2039-03-01,2038-09-01,304,54,356
